. depth . depth																						
Depth (m) EDC	Ice age (a 1950) AICC		depth m EDC	Gas age (a 1950) AICC		EDC depth[m]	EDC CH4 [ppbv]		Gas age (a 1950) AICC	depth/gas age m EDC		depth m EDC (ref)	CO2compositBereiter		Ice age (a 1950) AICC	Depth/Ice age (m) EDC		Depth(m) EDC	EDC deut cor		Depth (m) EDC (ref)	nssCA800ka
255.75	8065.51		313.5	7946.1		277.03	592		7952.86	311.85		120.5964967	280.97		8065.51	255.75		91.85	-398.7		2498.287871	103.96
257.4	8132.69		315.15	8028.74		277.82	577		8028.74	315.15		120.7329471	280.92		8132.69	257.4		92.4	-398.6		2503.727368	60.595
259.05	8196.56		316.8	8119.02		278.03	580		8119.02	316.8		121.0449836	280.06		8196.56	259.05		93.5	-390.6		2509.754762	28.989
260.7	8265.36		318.45	8185.72		278.13	581		8185.72	318.45		121.0703244	279.8		8265.36	260.7		94.05	-394		2516.174033	55.407
262.35	8330.12		320.1	8199.72		279.23	587		8199.72	320.1		121.594084	278.74		8330.12	262.35		94.6	-397.9		2521.734434	58.43
264	8394.61		321.75	8354.26		279.78	588		8350.78	323.4		121.9689477	277.41		8394.61	264		95.15	-394.8		2527.152941	78.364
265.65	8461.03		323.4	8350.78		280.94	617		8354.26	321.75		122.9827411	280.11		8461.03	265.65		95.7	-408.2		2533.443478	66.021
267.3	8525.12		325.05	8462.97		282.53	602		8462.97	325.05		123.959332	279.42		8525.12	267.3		96.25	-404.3		2540.643243	66.842
268.95	8587.21		326.7	8554.94		283.61	602		8554.94	326.7		125.2680888	278.62		8587.21	268.95		96.8	-399.6		2548.600362	82.049
270.6	8648.95		328.35	8636.66		285.28	599		8636.66	328.35		126.4969376	279.72		8648.95	270.6		97.35	-400.8		2556.945985	64.174
272.25	8709.11		330	8680.16		285.61	601		8680.16	330		127.5093263	279.29		8709.11	272.25		97.9	-401.5		2565.064383	80.271
273.9	8771.17		331.65	8780.87		285.73	595		8780.87	331.65		128.2896424	279.99		8771.17	273.9		98.45	-407.7		2574.128155	118.342
275.55	8833.51		333.3	8781.29		286.44	607		8781.29	333.3		129.3354419	277.1		8833.51	275.55		99	-400.5		2584.45	92.703
277.2	8897.68		334.95	8853.38		287.59	604		8853.38	334.95		131.1640266	278.45		8897.68	277.2		99.55	-395.8		2591.7925	42.384
278.85	8957.3		336.6	8943.55		287.89	636		8943.55	336.6		132.4480889	279.59		8957.3	278.85		100.1	-399.7		2597.209072	136.034
280.5	9017.1		338.25	8981.89		288	603		8981.89	338.25		132.9617574	277.87		9017.1	280.5		100.65	-399.6		2601.293963	452.346
282.15	9076.72		339.9	9027.66		289.19	608		9027.66	339.9		133.748279	276.2		9076.72	282.15		101.2	-394.8		2604.640059	371.401
283.8	9136.6		341.55	9061.19		291.33	605		9061.19	341.55		134.9799761	278.46		9136.6	283.8		101.75	-398.5		2608.098243	297.031
285.45	9197.82		343.2	9121.28		293.59	633		9121.28	343.2		135.2688866	276.56		9197.82	285.45		102.3	-390.2		2611.631949	246.03
287.1	9260.62		344.85	9190.24		294.18	607		9190.24	344.85		136.782173	276.79		9260.62	287.1		102.85	-396.4		2615.308591	187.324
288.75	9317.27		346.5	9274.2		295.73	614		9274.2	346.5		137.6245299	277.11		9317.27	288.75		103.4	-392.7		2619.1	188.351
290.4	9377.26		348.15	9341.18		297.2	631		9341.18	348.15		138.8166943	280		9377.26	290.4		103.95	-400.4		2622.78277	214.376
292.05	9435.45		349.8	9361.74		297.28	610		9361.74	349.8		139.3090058	279.13		9435.45	292.05		104.5	-393.5		2626.355457	561.83
293.7	9492.35		351.45	9420		299.41	612		9420	351.45		139.6652795	277.25		9492.35	293.7		105.05	-390.6		2629.670934	427.347
295.35	9546.9		353.1	9444.39		299.48	607		9444.39	353.1		140.0983462	277.8		9546.9	295.35		105.6	-395.2		2632.937276	361.606
297	9607.35		354.75	9520.14		300.19	623		9514.22	356.4		140.8745356	281.69		9607.35	297		106.15	-396.9		2636.329456	304.039
